Item_id,Course
1,BA English
2,BA in Political Science
3,BA History
4,BA Psychology
5,BA Philosophy
6, BA Social Work
7,BA Economics
8,BA Archaeology
9,BA Sociology
10,BA Geography
11,BA Anthropology
12, BA Linguistics
13,BA Rural Studies
14, BA Hindi
15,BA Bengali
16, BA Tamil
17,BA Marathi
18,BA Telugu
19,BA Kannada
20,BA Malayalam
21,BA Assamese
22,BA Bihari
23, BA Odiya
24,BA Journalism
25,BA Psychology
26, BA German
27,BA French
28, BA Italian
29, BA Hebrew
30, BA Spanish
31, BA Russian
32, BA Chinese
33,BA Japanese
34, BA Photography
35,BA Korean
36, BA Agro Sciences
37," BA Airlines, Hospitality and Customer care"
38, BA Ancient History
39,BA Ancient Indian Culture
40,BA Arabic
41,BA Cinematography
42,BA Corporate Secretaryship
43,BA Comparative Religion
44,BA Criminology
45,BA Culinary Art
46,BA Defence and Strategic Studies
47,BA Drawing and Painting
48,BA Education
49, BA Punjabi
50, BA Gujarati
51,BBA
52,B.Sc. PCM
53,B.Sc. Physics
54,B.Sc. Chemistry
55,B.Sc. Maths
56,B.Sc. Zoology
57,B.Sc. Statistics
58,B.Sc. Botany
59,B.Sc. Home Science
60,B.Sc. Agriculture
61,B.Sc .Animation
62,B.Sc. Aquaculture
63,B.Sc. Aviation
64,B.Sc. Biochemistry
65,B.Sc. Bioinformatics
66,B.Sc. Computer Science
67,B.Sc. Dietetics
68,B.Sc. Electronic
69,B.Sc. Fashion Technology
70,B.Sc. Food Technology
71,B.Sc. Forensic Science
72,B.Sc.Forestry
73,B.Sc.Medical Technology
74,B.Sc.Microbiology
75,B.Sc. Multimedia
76,B.Sc. Nautical Science
77,B.Sc. Nursing
78,B.Sc. Nutrition
79,B.Sc. Physiotherapy
80,B.Sc. Psychology
81,B.Sc. Genetics
82,B.Sc. Information Technology
83,B.Sc. Interior Design
84,B.Sc. BioTechnology
85,B. Comm
86,LLB 
87,Aerospace Engineering
88,Agriculture & Food Engineering
89,Automobile Engineering
90,Biotechnology Engineering
91,Ceramic Engineering
92,Chemical Engineering
93,Civil Engineering
94,Computer Engineering
95,Electrical Engineering
96,Electronics Engineering
97,Engineering Physics
98,Environmental Engineering
99,Industrial and Production Engineering
100,Industrial Engineering
101,Information Technology Engineering
102,Instrumentation Engineering
103,Marine Engineering
104,Mechanical Engineering
105,Metallurgical Engineering
106,Naval Architecture and Ocean Engineering
107,Petroleum Engineering
108,Textile Engineering
109,Production and Industrial Engineering
110,Structural Engineering
111,Motorsport Engineering
112,Fire Protection Engineering
113,Naval Engineering
114,Corrosion engineering
115,Materials engineering
116,Molecular engineering
117,Process engineering
118,Corrosion engineering
119,Environmental engineering
120,Water resources engineering
121,MBBS
122,BDS
123,B.SC. NURSING
124,B.PHARM. -BACHELOR OF PHARMACY
125, PHARM D
126,BHMS
127,BUMS
128,BPT -PHYSIOTHERAPY
129,B.V.SC. & A.H.
130, BOT -BACHELOR OF OCCUPATIONAL THERAPY
131, BASLP -BACHELOR OF AUDIOLOGY SPEECH LANGUAGE PATHOLOGY
132,B.Sc. Environmental Science
133,B.Sc. Biotechnology
134,B.Sc. Occupational Therapy
135,B.Sc. Physiotherapy
136,B.Sc. Radiology
137,B.Sc. Bioinformatics
138,B.Sc. Anthropology
139,B.Sc. Microbiology
140,B.Sc. Zoology
141,B.Sc. Forensic Science
142,B.Sc. Agriculture
143,B.Sc. Pathology
144,B.Sc. Speech Therapy
145,B.F.Sc. Fisheries Science
146,B.Sc. Horticulture
147,B.Sc. Genetics
148,B.Sc. Health Science and Nutrition
149,B.Sc. Sports Science
150,B.Sc. Audiology
151,B.Sc. Botany
