userid,Item_id,rating,timestamp
1,4,5,881250949
1,114,4,881250962
1,412,4.5,881250995
1,434,5,881251061
1,1223,5,881251001
1,419,4.5,881250994
1,845,4,881251026
1,742,4,881250954
1,890,4,881250973
1,819,3,881251005
1,50,1,881251014
1,45,1,881251016
1,407,2,881251017
2,1196,5,881251025
2,1269,4.5,881251058
2,1088,5,881251065
2,1099,4,881251075
2,277,4,881250999
2,478,5,881250957
2,507,4.5,881250950
2,488,5,881250953
2,663,2,881250961
2,772,1,881250969
2,113,1,881250984
2,80,2,881250988
3,284,5,881251006
3,1269,4.5,881251036
3,838,5,881251043
3,611,4.5,881251055
3,660,5,881250993
3,618,5,881250959
3,488,3,881251019
3,991,2,881250960
3,958,1,881250972
3,965,1,881250978
3,441,1,881250987
3,1111,1,881251041
3,456,1,881251000
4,872,5,881250951
4,343,5,881250955
4,748,5,881250980
4,715,4.5,881250982
4,528,4.1,881251015
4,240,4,881251034
4,446,3,881251051
4,749,3.5,881251052
4,1000,2,881251062
4,1001,1,881251068
4,852,1,881251029
4,869,1,881251030
4,751,3,881250952
5,1196,5,881250971
5,408,5,881250974
5,357,4.5,881250979
5,690,4,881250981
5,1269,4.5,881251003
5,844,5,881251008
5,222,5,881251009
5,942,3,881251013
5,874,2,881251022
5,155,1,881251028
5,323,1,881251038
5,41,1,881251056
6,36,5,881251060
6,175,4.5,881251064
6,618,5,881251070
6,609,3.5,881251020
6,424,4,881251021
6,1269,5,881251053
6,478,7,881250991
6,47,2,881251010
6,51,1,881251011
6,20,1,881251018
6,65,1,881251024
7,1114,5,881251033
7,609,4.5,881251037
7,36,5,881251048
7,357,5,881251054
7,1108,5,881251063
7,618,5,881250967
7,611,5,881250975
7,457,2,881250989
7,86,1,881251023
7,225,1,881251046
7,11,1,881251057
7,123,1,881251077
7,456,1,881250976
8,1114,5,881251012
8,1269,4.5,881251044
8,478,5,881250958
8,353,5,881250965
8,290,5,881251002
8,618,5,881250966
8,611,4.5,881251027
8,1108,4,881251067
8,357,4,881251076
8,1088,4,881251045
8,844,3.5,881251047
8,99,2,881250968
8,451,1,881250977
8,11,1,881250983
9,411,5,881250985
9,412,5,881250986
9,426,4,881250996
9,434,4.5,881251032
9,742,5,881251059
9,114,3.5,881251069
9,845,4,881250956
9,1223,5,881250990
9,119,5,881251050
9,820,5,881250970
9,1079,4,881251004
9,774,1,881251007
9,415,1,881251066
9,462,1,881251071
10,1223,5,881250992
10,1079,5,881250998
10,660,4.5,881250963
10,434,4.5,881251031
10,412,5,881251035
10,411,5,881251039
10,742,3.5,881251040
10,407,4,881251072
10,478,4.5,881251074
10,609,5,881251042
10,114,5,881250964
10,845,5,881251049
10,1158,1,881250997
10,998,1,881251073
